ProductID,ProductName,Category,UnitPrice,Description,ReturnPolicy,Warranty
1,"Tarpaulin 2x3 ft",Tarpaulin Printing,150.00,"2x3 feet tarpaulin","7 days return","1 month"
2,"Tarpaulin 3x4 ft",Tarpaulin Printing,320.00,"3x4 feet tarpaulin","7 days return","1 month"
3,"Tarpaulin 4x5 ft",Tarpaulin Printing,350.00,"4x5 feet tarpaulin","7 days return","1 month"
4,"Tarpaulin 4x8 ft",Tarpaulin Printing,800.00,"4x8 feet tarpaulin","7 days return","1 month"
5,"Custom Mug Printing",Mug Printing,130.00,"Standard mug printing","No return","No warranty"
6,"Student Mug Printing",Mug Printing,150.00,"Student mug orders","No return","No warranty"
7,"Desk Calendar",Calendar Printing,120.00,"Desk calendar print","Exchange only","No warranty"
8,"Wall Calendar",Calendar Printing,200.00,"Wall calendar print","Exchange only","No warranty"
9,"Bulk Document Printing",Printing Services,60.00,"Bulk printing per page","No return","No warranty"
10,"Bond Paper A4 500 Sheets",Office Supplies,280.00,"A4 bond paper","7 days return","No warranty"
11,"Bond Paper Short 500 Sheets",Office Supplies,260.00,"Short bond paper","7 days return","No warranty"
12,"Glossy Photo Paper 20 Sheets",Office Supplies,180.00,"Glossy photo paper","No return","No warranty"
13,"Ink Cartridge Black",Office Supplies,750.00,"Printer cartridge","No return","6 months"
14,"Laminating Pouch A4 Pack",Office Supplies,120.00,"Laminating pouches","No return","No warranty"
15,"Ballpen Blue",Office Supplies,12.00,"Blue pen","No return","No warranty"
16,"Notebook 80 Pages",Office Supplies,35.00,"Student notebook","No return","No warranty"
